,car_IN,car_OUT,truck_IN,truck_OUT,bus_IN,bus_OUT
0:00:00,,,,,,
0:05:00,5,18,0,3,0,0
0:10:00,13,29,1,8,0,0
0:15:00,19,47,1,10,0,1
0:20:00,22,60,1,13,0,1
0:25:00,31,80,1,18,0,1
0:30:00,34,93,1,21,0,1
0:35:00,39,109,1,24,0,1
0:40:00,45,120,1,24,0,1
0:45:00,46,131,1,24,0,1
0:50:00,49,140,1,26,0,1
0:55:00,51,152,1,27,0,2
1:00:00,53,165,1,30,0,2
1:05:00,57,173,1,33,0,2
1:10:00,60,190,1,33,0,2
1:15:00,63,196,2,35,0,2
1:20:00,68,209,2,36,0,2
1:25:00,69,216,2,37,0,2
1:30:00,73,223,3,39,0,2
1:35:00,75,225,3,39,0,2
1:40:00,80,233,3,39,0,2
1:45:00,86,241,3,40,0,2
1:50:00,88,250,3,41,0,2
1:55:00,92,252,3,43,0,2
2:00:00,100,262,3,45,0,2
2:05:00,102,270,3,47,0,2
2:10:00,104,279,3,48,0,2
2:15:00,109,286,3,48,0,2
2:20:00,112,294,3,48,0,2
2:25:00,117,300,3,50,0,2
2:30:00,123,306,3,51,0,2
2:35:00,127,312,3,51,1,2
2:40:00,131,316,3,53,1,2
2:45:00,140,322,3,54,1,2
2:50:00,143,331,3,54,2,2
2:55:00,153,338,4,56,2,2
3:00:00,161,344,4,57,2,2
3:05:00,165,350,4,57,3,2
3:10:00,168,356,4,57,4,2
3:15:00,175,360,4,57,4,2
3:20:00,181,367,4,58,5,2
3:25:00,186,372,4,59,5,2
3:30:00,192,374,5,59,5,2
3:35:00,202,375,6,60,5,2
3:40:00,209,380,6,60,5,2
3:45:00,218,385,6,60,6,2
3:50:00,226,389,6,60,6,2
3:55:00,235,392,6,61,8,3
4:00:00,246,396,6,62,8,3
4:05:00,252,400,6,65,8,3
4:10:00,264,411,6,66,8,4
4:15:00,280,419,6,69,8,4
4:20:00,290,422,6,72,8,4
4:25:00,300,426,6,74,8,4
4:30:00,316,433,6,74,8,4
4:35:00,332,436,7,74,9,4
4:40:00,344,441,7,76,9,4
4:45:00,360,450,7,76,9,4
4:50:00,373,456,8,78,11,4
4:55:00,386,465,8,78,12,4
5:00:00,404,472,9,79,12,4
5:05:00,422,478,9,86,13,4
5:10:00,446,488,9,90,14,4
5:15:00,462,502,10,92,14,4
5:20:00,491,517,11,96,15,4
5:25:00,516,537,12,99,16,4
5:30:00,538,547,12,105,17,4
5:35:00,564,564,12,109,17,5
5:40:00,589,578,12,110,17,5
5:45:00,613,591,13,111,17,5
5:50:00,641,611,15,113,18,5
5:55:00,679,625,15,116,18,5
6:00:00,701,646,15,123,18,5
6:05:00,715,662,15,128,18,5
6:10:00,741,679,16,129,19,6
6:15:00,768,699,16,133,21,8
6:20:00,795,717,16,138,22,9
6:25:00,815,745,17,151,24,9
6:30:00,839,769,17,159,25,10
6:35:00,867,799,17,170,25,10
6:40:00,890,832,17,174,27,12
6:45:00,915,866,18,182,29,14
6:50:00,952,910,20,190,29,14
6:55:00,983,946,23,201,29,15
7:00:00,1009,976,28,209,31,15
7:05:00,1035,1007,33,216,31,17
7:10:00,1071,1037,48,233,32,18
7:15:00,1102,1057,66,250,34,19
7:20:00,1128,1097,77,262,37,21
7:25:00,1158,1137,98,274,38,23
7:30:00,1183,1170,111,286,40,23
7:35:00,1220,1205,125,300,42,24
7:40:00,1246,1240,141,313,43,26
7:45:00,1276,1277,157,322,45,29
7:50:00,1308,1317,173,336,47,31
7:55:00,1344,1351,182,354,49,33
8:00:00,1382,1390,203,365,54,34
8:05:00,1408,1416,213,380,56,39
8:10:00,1437,1454,226,395,59,43
8:15:00,1464,1492,239,409,63,46
8:20:00,1494,1527,254,422,66,50
8:25:00,1531,1572,270,439,67,53
8:30:00,1556,1613,278,454,70,59
8:35:00,1597,1645,287,471,71,59
8:40:00,1612,1690,297,486,74,59
8:45:00,1647,1721,307,499,75,60
8:50:00,1668,1747,316,514,76,62
8:55:00,1692,1773,327,528,76,65
9:00:00,1715,1813,335,541,77,66
9:05:00,,,,,,
9:10:00,1743,1847,347,558,79,68
9:15:00,1770,1895,363,582,83,70
9:20:00,1819,1957,386,605,86,74
9:25:00,1856,2010,404,634,90,77
9:30:00,1912,2053,427,651,91,77
9:35:00,1942,2114,437,668,98,81
9:40:00,1992,2164,453,678,102,85
9:45:00,2044,2207,474,690,104,88
9:50:00,2086,2265,486,718,105,92
9:55:00,2122,2310,505,732,112,94
10:00:00,2169,2365,523,747,115,100
10:05:00,2212,2409,550,767,118,103
10:10:00,2259,2461,567,784,121,105
10:15:00,2308,2515,588,805,125,108
10:20:00,2347,2564,605,831,127,109
10:25:00,2408,2616,625,853,130,113
10:30:00,2458,2663,653,871,134,118
10:35:00,2513,2718,670,898,136,120
10:40:00,,,,,,
10:45:00,,,,,,
10:50:00,,,,,,
10:55:00,,,,,,
11:00:00,,,,,,
11:05:00,,,,,,
11:10:00,,,,,,
11:15:00,,,,,,
11:20:00,,,,,,
11:25:00,,,,,,
11:30:00,2589,2783,707,922,138,123
11:35:00,2666,2837,747,953,140,125
11:40:00,2748,2898,775,976,142,126
11:45:00,2843,2960,801,995,146,129
11:50:00,2918,3007,843,1022,150,132
11:55:00,2980,3058,866,1051,153,134
12:00:00,3064,3101,891,1074,154,137
12:05:00,3142,3163,924,1102,160,137
12:10:00,3233,3230,959,1121,165,139
12:15:00,3296,3284,985,1145,168,139
12:20:00,3387,3340,1009,1172,169,141
12:25:00,3485,3406,1047,1195,171,146
12:30:00,3568,3471,1077,1221,177,149
12:35:00,3649,3528,1102,1245,180,149
12:40:00,3729,3580,1131,1271,183,152
12:45:00,3806,3639,1155,1287,185,154
12:50:00,3879,3702,1183,1318,188,156
12:55:00,3959,3751,1220,1344,194,157
13:00:00,4044,3811,1253,1365,198,159
13:05:00,4116,3866,1277,1395,206,162
13:10:00,4192,3943,1303,1422,210,166
13:15:00,4264,3998,1328,1448,212,171
13:20:00,4351,4056,1362,1483,218,175
13:25:00,4438,4132,1391,1515,220,178
13:30:00,4525,4210,1421,1533,222,180
13:35:00,4612,4272,1457,1553,232,186
13:40:00,4711,4320,1484,1580,236,186
13:45:00,4799,4375,1521,1606,243,190
13:50:00,4870,4440,1547,1638,245,191
13:55:00,4937,4527,1579,1672,247,195
14:00:00,4999,4606,1611,1704,247,199
14:05:00,5073,4681,1640,1736,250,206
14:10:00,5142,4750,1665,1766,255,210
14:15:00,5211,4820,1695,1789,256,211
14:20:00,5292,4891,1722,1819,257,217
14:25:00,5369,4962,1756,1846,260,219
14:30:00,5454,5036,1786,1887,265,221
14:35:00,5517,5118,1817,1912,273,227
14:40:00,5592,5189,1852,1942,275,228
14:45:00,5673,5280,1884,1965,280,231
14:50:00,5755,5360,1913,1989,287,234
14:55:00,5840,5437,1945,2008,291,239
15:00:00,,,,,,
15:05:00,,,,,,
15:10:00,,,,,,
15:15:00,,,,,,
15:20:00,,,,,,
15:25:00,,,,,,
15:30:00,,,,,,
15:35:00,,,,,,
15:40:00,5924,5527,1975,2027,292,241
15:45:00,6002,5599,2001,2047,295,245
15:50:00,6076,5709,2016,2060,299,247
15:55:00,6174,5796,2035,2074,302,251
16:00:00,6258,5915,2046,2082,307,252
16:05:00,6333,6023,2054,2093,308,254
16:10:00,6427,6135,2071,2103,310,256
16:15:00,6517,6246,2079,2111,311,262
16:20:00,6618,6378,2090,2115,313,264
16:25:00,6720,6480,2106,2121,313,267
16:30:00,6794,6590,2118,2129,317,272
16:35:00,6901,6691,2127,2144,319,276
16:40:00,6981,6801,2147,2156,322,278
16:45:00,7057,6907,2162,2174,323,280
16:50:00,7140,6986,2180,2197,324,282
16:55:00,7211,7079,2194,2220,328,283
17:00:00,7276,7178,2214,2235,335,290
17:05:00,,,,,,
17:10:00,,,,,,
17:15:00,,,,,,
17:20:00,,,,,,
17:25:00,,,,,,
17:30:00,,,,,,
17:35:00,,,,,,
17:40:00,,,,,,
17:45:00,,,,,,
17:50:00,,,,,,
17:55:00,,,,,,
18:00:00,,,,,,
18:05:00,,,,,,
18:10:00,,,,,,
18:15:00,,,,,,
18:20:00,,,,,,
18:25:00,,,,,,
18:30:00,,,,,,
18:35:00,,,,,,
18:40:00,,,,,,
18:45:00,,,,,,
18:50:00,,,,,,
18:55:00,,,,,,
19:00:00,,,,,,
19:05:00,,,,,,
19:10:00,,,,,,
19:15:00,,,,,,
19:20:00,,,,,,
19:25:00,,,,,,
19:30:00,,,,,,
19:35:00,,,,,,
19:40:00,,,,,,
19:45:00,,,,,,
19:50:00,,,,,,
19:55:00,,,,,,
20:00:00,,,,,,
20:05:00,,,,,,
20:10:00,,,,,,
20:15:00,,,,,,
20:20:00,,,,,,
20:25:00,,,,,,
20:30:00,,,,,,
20:35:00,,,,,,
20:40:00,,,,,,
20:45:00,,,,,,
20:50:00,,,,,,
20:55:00,,,,,,
21:00:00,,,,,,
21:05:00,,,,,,
21:10:00,,,,,,
21:15:00,,,,,,
21:20:00,,,,,,
21:25:00,,,,,,
21:30:00,,,,,,
21:35:00,,,,,,
21:40:00,,,,,,
21:45:00,,,,,,
21:50:00,,,,,,
21:55:00,,,,,,
22:00:00,,,,,,
22:05:00,,,,,,
22:10:00,,,,,,
22:15:00,,,,,,
22:20:00,,,,,,
22:25:00,,,,,,
22:30:00,,,,,,
22:35:00,,,,,,
22:40:00,,,,,,
22:45:00,,,,,,
22:50:00,,,,,,
22:55:00,,,,,,
23:00:00,,,,,,
23:05:00,,,,,,
23:10:00,,,,,,
23:15:00,,,,,,
23:20:00,,,,,,
23:25:00,,,,,,
23:30:00,,,,,,
23:35:00,,,,,,
23:40:00,,,,,,
23:45:00,,,,,,
23:50:00,,,,,,
23:55:00,,,,,,
0:00:00,,,,,,
